dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,54,2499852,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,85,0.0,76.0,
5liga,54,2499867,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,54,1.0,61.0,
5liga,54,2499877,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,92,0.0,91.0,
5liga,54,2499888,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,116,0.0,92.0,
5liga,54,2499895,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,50,3.0,92.0,
5liga,54,2499901,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,82,0.0,92.0,
5liga,54,2499916,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,69,3.0,91.0,
5liga,54,2499926,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,107,0.0,93.0,
5liga,54,2499937,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,92,0.0,92.0,
5liga,54,2499946,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,94,0.0,86.0,
5liga,54,2499968,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,92,0.0,93.0,
5liga,54,2499975,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,77,0.0,92.0,
5liga,54,2499987,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,58,6.0,91.0,
5liga,54,2499993,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,113,0.0,93.0,
5liga,54,2500007,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,115,2.0,92.0,
5liga,54,2500009,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,82,0.0,93.0,
5liga,54,2500027,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,74,4.0,93.0,
5liga,54,2500031,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,69,3.0,92.0,
5liga,54,2500046,1624,C. Eriksen,C. Eriksen,Midfielder,CAM,MID_NEEDS_DETAIL,Tottenham Hotspur,98,0.0,97.0,
